Chantelle de Jonge	Chestermere-Strathmore	https://www.unitedconservative.ca/nominated-candidates/chantelle-de-jonge/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/deJonge-768x903-1-e1681845410119.png
Justin Wright	Cypress-Medicine Hat	https://www.unitedconservative.ca/nominated-candidates/justin-wright/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/justin-wright-e1682736412533-768x305.jpg
Andrew Boitchenko	Drayton Valley-Devon	https://www.unitedconservative.ca/nominated-candidates/andrew-boitchenko/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Boitchenko-scaled-e1681593353728-768x592.jpg
Nate Horner	Drumheller-Stettler	https://www.unitedconservative.ca/nominated-candidates/nate-horner/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/horner-e1681841307966.png
Luke Suvanto	Edmonton Beverly-Clareview	https://www.unitedconservative.ca/nominated-candidates/luke-suvanto/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/luke-suvanto-e1681840257649-768x384.png
Jon Dziadyk	Edmonton-Castle Downs	https://www.unitedconservative.ca/nominated-candidates/jon-dziadyk/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/9E2A0190-scaled-e1681592382884-768x539.jpg
Richard Wong	Edmonton-City Centre	https://www.unitedconservative.ca/nominated-candidates/richard-wong/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/3Wong-768x923-1-e1681843722528.jpg
Sayid Ahmed	Edmonton-Decore	https://www.unitedconservative.ca/nominated-candidates/sayid-ahmed/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Sayid-1-e1681592471626.jpg
Ranjit Bath	Edmonton-Ellerslie	https://www.unitedconservative.ca/nominated-candidates/ranjit-bath/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Ranjit-Bath-768x768-1-e1681844728646.png
Melissa Crane	Edmonton-Glenora	https://www.unitedconservative.ca/nominated-candidates/melissa-crane/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Screen-Shot-2023-05-03-at-3.53.14-PM-e1683151090362-768x349.jpg
Miles Berry	Edmonton-Gold Bar	https://www.unitedconservative.ca/nominated-candidates/miles-berry/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/miles-headshot-768x743-1-e1681845974205.png
Nick Kalynchuk	Edmonton-Highlands-Norwood	https://www.unitedconservative.ca/nominated-candidates/nicholas-kalynchuk/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/dsc00770-e1682972205734-768x654.jpg
Albert Mazzocca	Edmonton-Manning	https://www.unitedconservative.ca/nominated-candidates/albert-mazzocca/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Mazzocca-Headshot-768x960-1-e1681844595206.jpg
