1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
195	IPA	Katherine	Kowalchuk	Olds-Didsbury-Three Hills	No	Yes	F			
196	NDP	Fred	Kreiner	West Yellowhead	No	Yes	M			//fredkreiner.albertandp.ca
197	UCP	Astrid	Kuhn	Calgary-Buffalo	No	Yes	F			/astrid-kuhn/
198	SM	Jed	Laboucane	Chestermere-Strathcona	No	Yes	M	Nick Lauritsen		
199	UCP	Adriana	LaGrange	Red Deer-North	Yes	Yes	F			/adriana-lagrange/
200	IPA	Kerry	Lambert	Chestermere-Strathmore	No	Yes	F			
201	SM	Kathryn	Lapp	Calgary-Cross	No	Yes	F	Nick Lauritsen		
202	NDP	Danielle	Larivee	Lesser Slave Lake	No	Yes	F			//daniellelarivee.albertandp.ca
203	UCP	Laine	Larson	Edmonton-Rutherford	No	Yes				/laine-laron/
204	WLC	Lisa	Leaman	Edmonton-Mill Woods	No	No	F			
205	AP	Lynn	Lekisch	Central Peace-Notley	No	Yes	M			https://www.albertaparty.ca/lynn_lekisch
206	SM	Garry	Leonhardt	Calgary-Hays	No	Yes	M	Nick Lauritsen		
207	SM	Nathan	Leslie	Lacombe-Ponoka	No	Yes	M	Nick Lauritsen		
208	IND	Graham	Lettner	Edmonton-Gold Bar	No	Yes	M			
209	SM	Kent	Liang	Calgary-Varsity	No	Yes	M	Nick Lauritsen		
210	SM	Pamel	Liebenberg	Red Deer-South	No	Yes	F	Nick Lauritsen		
211	IND	Andrew	Liniker	Edmonton-McClung	No	Yes	M			
212	NDP	Michael	Lisboa-Smith	Calgary-North West	no	Yes	M			//michaellisboasmith.albertandp.ca
213	UCP	Todd	Loewen	Central Peace-Notley	Yes	Yes	M			/todd-loewen/
214	UCP	Martin	Long	West Yellowhead	Yes	Yes	M			/martin-long/
215	WIPA	Mike	Lorusso	Highwood	No	Yes	M			https://assets.nationbuilder.com/freedomconservativeparty/pages/891/attachments/original/1682303267/Mike_Lorusso.jpg?1682303267
216	UCP	Jackie	Lovely	Camrose	Yes	Yes	F			/jackie-lovely/
217	GPA	Taylor	Lowery	Lacombe-Ponoka	No	Yes	F			https://www.greenpartyofalberta.ca/lacombe_ponoka
218	NDP	Rod	Loyola	Edmonton-Ellerslie	Yes	Yes	M			//rodloyola.albertandp.ca
219	UCP	Jason	Luan	Calgary-Foothills	Yes	Yes	M			/jason-luan/
220	AP	Braham	Luddu	Lethbridge-West	No	Yes	M			
221	UCP	Brandon	Lunty	Leduc-Beaumont	Yes	Yes	M			/brandon-lunty/
222	GPA	Ashley	MacDonald	Red Deer-South	No	Yes	M			https://www.greenpartyofalberta.ca/red_deer_south
223	SM	Granny Margaret	Mackay	Fort Saskatchewan-Vegreville	No	Yes	F	Nick Lauritsen		
224	IPA	Sharon	Maclise	Leduc-Beaumont	No	Yes	F			
225	UCP	Kaycee	Madu	Edmonton-South West	Yes	Yes	M			/kaycee-madu/
226	GPA	Steven	Maffioli	Calgary-Glenmore	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_glenmore
227	GPA	Ernestina	Malheiro	Edmonton-Gold Bar	No	Yes	F			https://www.greenpartyofalberta.ca/edmonton_gold_bar
228	WIPA	Jeevan	Mangat	Innisfail-Sylvan Lake	No	Yes	M	https://assets.nationbuilder.com/freedomconservativeparty/pages/881/attachments/original/1681267688/Jeevan.jpg?1681267688		
229	UCP	Amrit	Matharu	Edmonton-Meadows	No	Yes	M			/amritpal-singh-matharu/
230	UCP	Albert	Mazzocca	Edmonton-Manning	No	Yes	M			/albert-mazzocca/
231	SM	Linda	McClelland	Calgary-Acadia	No	Yes	F	Nick Lauritsen		
232	UCP	Myles	McDougall	Calgary-Fish Creek	No	Yes	M			/myles-mcdougall/
233	UCP	Richard William (Ric)	McIver	Calgary-Hays	Yes	Yes	M			/ric-mciver/
234	GPA	Jason	McKee	Calgary-West	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_west
235	WLC	Brennan	Mclay	Edmonton-City Centre	No	No	M			
236	WLC	Logan	Mclay	Edmonton-Gold Bar	No	No	M			
237	WLC	Samantha	Mclay	Red Deer-North	No	No	F			
238	NDP	Kevin	McLean	Grande Prairie	No	Yes	M			//kevinmclean.albertandp.ca
239	LIB	Helen	McMenamin	Lethbridge-East	No	Yes	F			https://www.albertaliberal.com/helen_mcmenamin_lethbridge_east
